name,manufacturer,strength,pack_size,region
Paracetamol,KSMSCL,500mg,10 tablets,Karnataka
Ibuprofen,KSMSCL,400mg,10 tablets,Karnataka
Amoxicillin,KSMSCL,500mg,10 tablets,Karnataka
Azithromycin,KSMSCL,500mg,10 tablets,Karnataka
Metformin,KSMSCL,500mg,10 tablets,Karnataka
Atorvastatin,KSMSCL,10mg,10 tablets,Karnataka
Amlodipine,KSMSCL,5mg,10 tablets,Karnataka
Losartan,KSMSCL,50mg,10 tablets,Karnataka
Omeprazole,KSMSCL,20mg,10 tablets,Karnataka
Cetirizine,KSMSCL,10mg,10 tablets,Karnataka
Ranitidine,KSMSCL,150mg,10 tablets,Karnataka
Diclofenac,KSMSCL,50mg,10 tablets,Karnataka
Ciprofloxacin,KSMSCL,500mg,10 tablets,Karnataka
Doxycycline,KSMSCL,100mg,10 tablets,Karnataka
Prednisolone,KSMSCL,5mg,10 tablets,Karnataka
Salbutamol,KSMSCL,100mcg,10 tablets,Karnataka
Insulin,KSMSCL,100IU/ml,10 tablets,Karnataka
Aspirin,KSMSCL,75mg,10 tablets,Karnataka
Clopidogrel,KSMSCL,75mg,10 tablets,Karnataka
Enalapril,KSMSCL,5mg,10 tablets,Karnataka
Furosemide,KSMSCL,40mg,10 tablets,Karnataka
Spironolactone,KSMSCL,25mg,10 tablets,Karnataka
Digoxin,KSMSCL,0.25mg,10 tablets,Karnataka
Warfarin,KSMSCL,5mg,10 tablets,Karnataka
Heparin,KSMSCL,5000IU/ml,10 tablets,Karnataka
Levothyroxine,KSMSCL,50mcg,10 tablets,Karnataka
Glimepiride,KSMSCL,1mg,10 tablets,Karnataka
Pioglitazone,KSMSCL,15mg,10 tablets,Karnataka
Sitagliptin,KSMSCL,100mg,10 tablets,Karnataka
Vildagliptin,KSMSCL,50mg,10 tablets,Karnataka
Rosuvastatin,KSMSCL,10mg,10 tablets,Karnataka
Fenofibrate,KSMSCL,145mg,10 tablets,Karnataka
Gemfibrozil,KSMSCL,600mg,10 tablets,Karnataka
Ezetimibe,KSMSCL,10mg,10 tablets,Karnataka
Clopidogrel,KSMSCL,75mg,10 tablets,Karnataka
Ramipril,KSMSCL,5mg,10 tablets,Karnataka
Telmisartan,KSMSCL,40mg,10 tablets,Karnataka
Valsartan,KSMSCL,80mg,10 tablets,Karnataka
Bisoprolol,KSMSCL,5mg,10 tablets,Karnataka
Carvedilol,KSMSCL,6.25mg,10 tablets,Karnataka
Pantoprazole,KSMSCL,40mg,10 tablets,Karnataka
Rabeprazole,KSMSCL,20mg,10 tablets,Karnataka
Esomeprazole,KSMSCL,40mg,10 tablets,Karnataka
Domperidone,KSMSCL,10mg,10 tablets,Karnataka
Ondansetron,KSMSCL,4mg,10 tablets,Karnataka
Levocetirizine,KSMSCL,5mg,10 tablets,Karnataka
Montelukast,KSMSCL,10mg,10 tablets,Karnataka
Fexofenadine,KSMSCL,120mg,10 tablets,Karnataka
Loratadine,KSMSCL,10mg,10 tablets,Karnataka
Chlorpheniramine,KSMSCL,4mg,10 tablets,Karnataka
