name,manufacturer,strength,pack_size,region
Paracetamol,SIMS Mysore,650mg,10 tablets,Mysore
Ibuprofen,SIMS Mysore,400mg,10 tablets,Mysore
Diclofenac,SIMS Mysore,50mg,10 tablets,Mysore
Tramadol,SIMS Mysore,50mg,10 tablets,Mysore
Amoxicillin,SIMS Mysore,500mg,10 tablets,Mysore
Azithromycin,SIMS Mysore,500mg,10 tablets,Mysore
Ceftriaxone,SIMS Mysore,1g,10 tablets,Mysore
Ciprofloxacin,SIMS Mysore,500mg,10 tablets,Mysore
Metronidazole,SIMS Mysore,400mg,10 tablets,Mysore
Doxycycline,SIMS Mysore,100mg,10 tablets,Mysore
Metformin,SIMS Mysore,500mg,10 tablets,Mysore
Glimepiride,SIMS Mysore,2mg,10 tablets,Mysore
Insulin Glargine,SIMS Mysore,100IU/ml,10 tablets,Mysore
Insulin Aspart,SIMS Mysore,100IU/ml,10 tablets,Mysore
Sitagliptin,SIMS Mysore,100mg,10 tablets,Mysore
Atorvastatin,SIMS Mysore,20mg,10 tablets,Mysore
Rosuvastatin,SIMS Mysore,10mg,10 tablets,Mysore
Amlodipine,SIMS Mysore,5mg,10 tablets,Mysore
Atenolol,SIMS Mysore,50mg,10 tablets,Mysore
Bisoprolol,SIMS Mysore,5mg,10 tablets,Mysore
Enalapril,SIMS Mysore,5mg,10 tablets,Mysore
Losartan,SIMS Mysore,50mg,10 tablets,Mysore
Telmisartan,SIMS Mysore,40mg,10 tablets,Mysore
Hydrochlorothiazide,SIMS Mysore,25mg,10 tablets,Mysore
Furosemide,SIMS Mysore,40mg,10 tablets,Mysore
Omeprazole,SIMS Mysore,20mg,10 tablets,Mysore
Pantoprazole,SIMS Mysore,40mg,10 tablets,Mysore
Ranitidine,SIMS Mysore,150mg,10 tablets,Mysore
Domperidone,SIMS Mysore,10mg,10 tablets,Mysore
Ondansetron,SIMS Mysore,4mg,10 tablets,Mysore
Cetirizine,SIMS Mysore,10mg,10 tablets,Mysore
Levocetirizine,SIMS Mysore,5mg,10 tablets,Mysore
Montelukast,SIMS Mysore,10mg,10 tablets,Mysore
Salbutamol,SIMS Mysore,100mcg,10 tablets,Mysore
Budesonide,SIMS Mysore,200mcg,10 tablets,Mysore
Levothyroxine,SIMS Mysore,100mcg,10 tablets,Mysore
Prednisolone,SIMS Mysore,5mg,10 tablets,Mysore
Hydrocortisone,SIMS Mysore,100mg,10 tablets,Mysore
Warfarin,SIMS Mysore,5mg,10 tablets,Mysore
Heparin,SIMS Mysore,5000IU/ml,10 tablets,Mysore
Aspirin,SIMS Mysore,75mg,10 tablets,Mysore
Clopidogrel,SIMS Mysore,75mg,10 tablets,Mysore
Ticagrelor,SIMS Mysore,90mg,10 tablets,Mysore
Alprazolam,SIMS Mysore,0.5mg,10 tablets,Mysore
Clonazepam,SIMS Mysore,0.5mg,10 tablets,Mysore
Sertraline,SIMS Mysore,50mg,10 tablets,Mysore
Fluoxetine,SIMS Mysore,20mg,10 tablets,Mysore
Risperidone,SIMS Mysore,2mg,10 tablets,Mysore
Olanzapine,SIMS Mysore,10mg,10 tablets,Mysore
Haloperidol,SIMS Mysore,5mg,10 tablets,Mysore
